IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
KOR,Korea (Rep. of),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,1.1,0.8,0.85
KOR,Korea (Rep. of),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.65,31.99,25.51,27.09
KOR,Korea (Rep. of),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Asia & Pacific,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.28,27.96,20.55,23.73
KWT,Kuwait,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,0.32,0.27,0.26,0.3,0.36,0.33,0.33,0.4,1.61
KWT,Kuwait,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,17.11,16.95,16.43,14.39,14.39,14.39,21.9,82.12
KWT,Kuwait,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,14.08,11.25,10.54,10.5,9.33,9.37,9.37,13.02,49.82
KWT,Kuwait,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,0.81,0.86,0.89,0.57,0.76,0.71,0.59,0.51,0.54
KWT,Kuwait,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,54.15,53.48,58.82,31.11,30.51,30.5,25.42,27.37,27.37
KWT,Kuwait,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,35.26,35.14,36.56,19.87,19.78,19.87,16.56,16.27,16.61
KWT,Kuwait,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,0.35,0.4,0.3,0.4,0.54,0.52,0.42,0.36,0.58
KWT,Kuwait,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,22.8,22.8,22.1,21.82,22.37,18.05,19.44,29.56
KWT,Kuwait,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,15.05,15,14.2,14.1,14.14,14.57,11.76,11.55,17.93
KWT,Kuwait,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.64,0.55,0.69
KWT,Kuwait,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,27.45,29.56,35.04
KWT,Kuwait,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.88,17.88,17.57,21.26
KWT,Kuwait,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.83,0.95,0.8
KWT,Kuwait,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.53,35.58,51.46,40.51
KWT,Kuwait,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Arab States,NA,NA,NA,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,23.18,30.59,24.58
LAO,Lao P.D.R.,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Asia & Pacific,LDC,LLDC,NA,Lower middle income,440.45,264.21,170.51,109.68,14.27,4.61,10.33,13.31,16.54,9.11,8.85,8.85,8.31,7.47
LAO,Lao P.D.R.,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Asia & Pacific,LDC,LLDC,NA,Lower middle income,889.48,615.54,411.44,274.46,40.3,41.62,35.96,46.9,60.27,44.36,48.25,48.25,48.61,42.57
