Paraguay,,,,,,,,65.69847107,,64.96592712,64.10415649,66.55964661,67.01064301,61.8151207,,,71.03430939,74.19116974,73.40899658,76.0063324,74.52336884,,75.61553955,76.33424377,77.4958725,
West Bank and Gaza,,,,,,,,,86.19261169,,87.51712036,88.19590759,88.59140778,89.55947876,90.08776855,90.85398102,91.99196625,92.58731079,92.68652344,93.25353241,93.61357117,93.82967377,94.5776825,,95.33920288,
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,94.44625854,,,,,,,,,,,,,,
Qatar,,,,,,,,,63.19961166,,,74.15695953,77.60057068,75.51860809,72.95614624,71.01439667,75.0422821,83.63504028,84.23490143,,87.02619171,87.76830292,,,,
Romania,,,,,,,95.34629059,,,,,97.7171936,97.82862091,98.02963257,98.16191864,98.40664673,98.53948212,98.64797211,98.58203888,98.63993073,98.69963074,98.79260254,,98.7381134,,
Russian Federation,,,,,,,99.68808746,,,,,,,,99.38349915,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,31.08498955,,32.68658829,,,,35.98601151,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,58.55488968,,,,64.21240234,,,,,,,,,81.32466888,,,,81.09165192,,,88.58067322,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,10.85229015,,,,,21.77544975,,27.34778023,,,,21.92161942,,,,
Singapore,74.57507324,,,,,,,,,82.36401367,77.81699371,78.10546875,79.22913361,79.17575073,83.60917664,83.69010162,84.39688873,85.08335114,85.17379761,86.69622803,86.1138916,86.01595306,87.90879822,88.50759888,88.84951019,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,21.99093056,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,50.21012115,49.50284958,51.79769135,52.74111176,56.95922089,53.98376846,55.45735931,56.40697861,,,58.64974976,58.55286026,,61.54618073,61.93111038,
San Marino,,,,,,,,,,,,,,,,,,,,,,,96.59699249,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,74.83129883,,,,,,,,,95.884552,,95.17978668,93.6807785,96.99421692,97.44045258,97.68987274,,98.52577972,,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,63.03213882,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
Small states,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,88.02041626,,,,,,,,,
Suriname,,,,,,,,,87.46320343,,,,,,,,90.37944794,,,,,,,,,
Slovak Republic,,,,,,99.63876343,,,,,,,,,,99.87023926,99.74243927,99.75229645,99.78484344,99.82196808,99.80570221,99.78691101,99.74286652,99.75653839,,
Slovenia,,,,,,,,,,99.19425201,99.10836792,98.97750854,98.94441223,99.13275909,99.11483765,99.44389343,99.70507813,99.87037659,,,99.80889893,99.78038788,,99.80072784,,
Sweden,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,94.17334747,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,36.13890839,,,,,69.12212372,60.90414047,67.49159241,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,8.544930458,,,,,13.6497097,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,30.42971992,,,,,,,,,,
Thailand,,,,,,,,,55.04425049,,51.35322189,,,,60.79637146,,,61.4749794,,,65.74324036,,66.84616852,71.21427155,,
Tajikistan,,,,,97.15865326,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,96.48262787,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,96.03977966,,,,,,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,94.22583008,94.6254425,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkiye,,,,,,,,,79.66867065,79.34397125,79.33135223,80.03426361,81.0672226,82.65135956,85.19230652,86.46678925,86.95696259,87.29769897,87.82810211,88.27713013,88.9477005,89.50144958,,91.03515625,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,48.86503983,,,,,,,,,,64.79051971,,,,,,,,,
