IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AIA,Anguilla,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA
AIA,Anguilla,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,42.59,NA,NA,46.29,NA,55.19,55.19,55.19,55.19
AIA,Anguilla,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,NA,NA,NA,NA
AIA,Anguilla,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.48,NA,34.81,34.81,44.44,44.44
AIA,Anguilla,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA
AIA,Anguilla,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,21.06,NA,NA,23.4,NA,21.23,21.23,27.02,27.02
AIA,Anguilla,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.03,37.03,44.44,44.44
AIA,Anguilla,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Other Economies,NA,NA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
